Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPPerGame,PTSPerGame,TRBPerGame,ASTPerGame,STLPerGame,BLKPerGame,year
Team Totals,,6,1440,220,477,69,189,118,141,39,186,225,146,33,19,66,119,627,.461,.365,.837,240.0,104.5,37.5,24.3,5.5,3.2,2020
Anthony Davis,26,6,229,56,98,8,19,30,32,20,44,64,19,8,12,16,18,150,.571,.421,.938,38.2,25.0,10.7,3.2,1.3,2.0,2020
Kentavious Caldwell-Pope,26,6,188,26,69,13,43,12,14,4,13,17,12,6,1,4,15,77,.377,.302,.857,31.3,12.8,2.8,2.0,1.0,0.2,2020
Rajon Rondo,33,6,156,19,49,7,21,7,8,6,25,31,33,6,0,10,11,52,.388,.333,.875,26.0,8.7,5.2,5.5,1.0,0.0,2020
Kyle Kuzma,24,6,130,17,48,9,29,8,10,6,11,17,3,1,1,7,14,51,.354,.310,.800,21.7,8.5,2.8,0.5,0.2,0.2,2020
Danny Green,32,6,137,16,49,11,38,2,2,4,13,17,7,6,5,5,11,45,.327,.289,1.000,22.8,7.5,2.8,1.2,1.0,0.8,2020
Markieff Morris,30,6,128,14,38,12,30,5,6,5,15,20,7,0,0,6,15,45,.368,.400,.833,21.3,7.5,3.3,1.2,0.0,0.0,2020
Alex Caruso,25,6,149,13,30,6,16,6,8,7,8,15,14,5,1,8,11,38,.433,.375,.750,24.8,6.3,2.5,2.3,0.8,0.2,2020
Dwight Howard,34,6,71,6,8,1,1,4,7,6,11,17,4,1,2,5,13,17,.750,1.000,.571,11.8,2.8,2.8,0.7,0.2,0.3,2020
Quinn Cook,26,2,3,1,2,1,2,0,0,0,0,0,0,0,0,0,0,3,.500,.500,,1.5,1.5,0.0,0.0,0.0,0.0,2020
J.R. Smith,34,3,10,1,3,1,3,0,0,0,1,1,0,1,0,0,3,3,.333,.333,,3.3,1.0,0.3,0.0,0.3,0.0,2020
Jared Dudley,34,3,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,0.3,2020
Team Totals,,6,1440,237,510,84,239,102,129,70,200,270,150,41,26,82,124,660,.465,.351,.791,240.0,110.0,45.0,25.0,6.8,4.3,2020
Klay Thompson,28,5,188,46,85,24,41,14,16,4,20,24,12,4,0,6,15,130,.541,.585,.875,37.6,26.0,4.8,2.4,0.8,0.0,2019
Draymond Green,28,6,248,26,60,5,19,18,21,9,56,65,56,10,6,30,26,75,.433,.263,.857,41.3,12.5,10.8,9.3,1.7,1.0,2019
Andre Iguodala,35,6,188,22,51,8,26,3,9,5,22,27,24,6,9,9,12,55,.431,.308,.333,31.3,9.2,4.5,4.0,1.0,1.5,2019
DeMarcus Cousins,28,6,108,17,40,2,9,14,23,4,24,28,14,4,6,13,18,50,.425,.222,.609,18.0,8.3,4.7,2.3,0.7,1.0,2019
Quinn Cook,25,6,88,11,29,5,16,2,2,0,5,5,5,1,1,2,8,29,.379,.313,1.000,14.7,4.8,0.8,0.8,0.2,0.2,2019
Kevon Looney,22,5,104,14,24,0,0,1,4,7,9,16,6,2,1,5,14,29,.583,,.250,20.8,5.8,3.2,1.2,0.4,0.2,2019
Shaun Livingston,33,6,98,10,24,0,1,8,8,3,6,9,9,4,1,5,8,28,.417,.000,1.000,16.3,4.7,1.5,1.5,0.7,0.2,2019
Jonas Jerebko,31,4,26,4,14,3,8,3,4,4,1,5,1,0,0,0,2,14,.286,.375,.750,6.5,3.5,1.3,0.3,0.0,0.0,2019
Alfonzo McKinnie,26,6,57,5,16,3,10,0,3,5,5,10,2,0,0,3,12,13,.313,.300,.000,9.5,2.2,1.7,0.3,0.0,0.0,2019
Andrew Bogut,34,5,45,6,8,0,0,0,0,4,11,15,3,1,1,2,8,12,.750,,,9.0,2.4,3.0,0.6,0.2,0.2,2019
Kevin Durant,30,1,12,3,5,3,3,2,2,0,2,2,0,0,1,1,2,11,.600,1.000,1.000,12.0,11.0,2.0,0.0,0.0,1.0,2019
Jordan Bell,24,4,25,3,4,0,0,0,0,2,3,5,1,0,2,0,2,6,.750,,,6.3,1.5,1.3,0.3,0.0,0.5,2019
Jacob Evans,21,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,0.7,0.0,0.0,0.0,0.0,0.0,2019
Damian Jones,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,2019
Team Totals,,6,1441,220,491,76,201,119,149,53,189,242,169,41,29,93,142,635,.448,.378,.799,240.2,105.8,40.3,28.2,6.8,4.8,2019
Pascal Siakam,24,6,241,49,97,5,21,16,21,12,33,45,22,3,4,9,11,119,.505,.238,.762,40.2,19.8,7.5,3.7,0.5,0.7,2019
Kyle Lowry,32,6,229,34,80,14,38,15,19,3,21,24,43,10,3,15,27,97,.425,.368,.789,38.2,16.2,4.0,7.2,1.7,0.5,2019
Fred VanVleet,24,6,195,28,63,16,40,12,14,4,12,16,13,7,0,6,13,84,.444,.400,.857,32.5,14.0,2.7,2.2,1.2,0.0,2019
Marc Gasol,34,6,173,21,47,6,19,24,26,5,39,44,16,3,2,7,25,72,.447,.316,.923,28.8,12.0,7.3,2.7,0.5,0.3,2019
Serge Ibaka,29,6,116,28,50,2,6,10,13,11,20,31,6,5,10,8,23,68,.560,.333,.769,19.3,11.3,5.2,1.0,0.8,1.7,2019
Danny Green,31,6,163,16,41,12,33,0,0,7,14,21,7,7,3,8,15,44,.390,.364,,27.2,7.3,3.5,1.2,1.2,0.5,2019
Norman Powell,25,6,66,4,13,1,6,2,2,0,6,6,4,2,0,2,4,11,.308,.167,1.000,11.0,1.8,1.0,0.7,0.3,0.0,2019
Patrick McCaw,23,4,12,1,2,1,1,0,0,0,0,0,2,0,0,0,0,3,.500,1.000,,3.0,0.8,0.0,0.5,0.0,0.0,2019
Jeremy Lin,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2019
Jodie Meeks,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2019
Malcolm Miller,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2019
Team Totals,,6,1441,230,506,72,206,137,159,58,188,246,138,49,29,73,133,669,.455,.350,.862,240.2,111.5,41.0,23.0,8.2,4.8,2019
Kevin Love,29,4,133,26,64,9,28,15,16,14,31,45,7,4,1,5,6,76,.406,.321,.938,33.3,19.0,11.3,1.8,1.0,0.3,2018
J.R. Smith,32,4,130,13,41,9,25,3,5,4,9,13,5,5,0,3,8,38,.317,.360,.600,32.5,9.5,3.3,1.3,1.3,0.0,2018
George Hill,31,4,117,10,31,7,16,3,6,5,4,9,9,3,1,6,16,30,.323,.438,.500,29.3,7.5,2.3,2.3,0.8,0.3,2018
Rodney Hood,25,4,56,12,27,1,5,2,3,5,10,15,3,2,2,2,4,27,.444,.200,.667,14.0,6.8,3.8,0.8,0.5,0.5,2018
Tristan Thompson,26,4,94,13,25,0,0,1,3,8,13,21,0,0,3,1,7,27,.520,,.333,23.5,6.8,5.3,0.0,0.0,0.8,2018
Larry Nance Jr.,25,4,68,9,18,0,0,5,12,15,13,28,6,2,2,2,7,23,.500,,.417,17.0,5.8,7.0,1.5,0.5,0.5,2018
Jeff Green,31,4,97,8,28,3,14,2,2,2,3,5,8,1,1,2,3,21,.286,.214,1.000,24.3,5.3,1.3,2.0,0.3,0.3,2018
Jordan Clarkson,25,2,25,3,13,0,3,0,0,1,3,4,1,2,1,2,2,6,.231,.000,,12.5,3.0,2.0,0.5,1.0,0.5,2018
Kyle Korver,36,4,65,1,16,1,11,3,5,2,5,7,3,0,1,2,7,6,.063,.091,.600,16.3,1.5,1.8,0.8,0.0,0.3,2018
Ante Žižić,21,3,5,3,3,0,0,0,0,1,0,1,0,0,0,0,2,6,1.000,,,1.7,2.0,0.3,0.0,0.0,0.0,2018
José Calderón,36,3,8,2,4,0,1,0,0,1,2,3,2,1,0,0,0,4,.500,.000,,2.7,1.3,1.0,0.7,0.3,0.0,2018
Cedi Osman,22,3,8,2,5,0,1,0,0,0,1,1,0,0,0,0,0,4,.400,.000,,2.7,1.3,0.3,0.0,0.0,0.0,2018
Team Totals,,4,985,151,368,36,122,66,90,67,119,186,84,25,16,45,73,404,.410,.295,.733,246.3,101.0,46.5,21.0,6.3,4.0,2018
Stephen Curry,29,4,162,37,92,22,53,14,14,3,21,24,27,6,3,11,11,110,.402,.415,1.000,40.5,27.5,6.0,6.8,1.5,0.8,2018
Klay Thompson,27,4,148,24,50,12,28,4,5,0,15,15,4,2,1,5,12,64,.480,.429,.800,37.0,16.0,3.8,1.0,0.5,0.3,2018
Draymond Green,27,4,165,15,29,3,14,4,5,4,20,24,34,8,6,5,18,37,.517,.214,.800,41.3,9.3,6.0,8.5,2.0,1.5,2018
JaVale McGee,30,4,55,16,20,0,0,0,1,4,5,9,0,0,5,1,6,32,.800,,.000,13.8,8.0,2.3,0.0,0.0,1.3,2018
Shaun Livingston,32,4,65,13,15,0,0,4,4,1,10,11,6,1,0,1,7,30,.867,,1.000,16.3,7.5,2.8,1.5,0.3,0.0,2018
Jordan Bell,23,4,54,10,14,0,1,3,6,4,9,13,4,1,2,0,4,23,.714,.000,.500,13.5,5.8,3.3,1.0,0.3,0.5,2018
Andre Iguodala,34,2,45,7,12,3,6,2,2,1,3,4,1,3,2,1,6,19,.583,.500,1.000,22.5,9.5,2.0,0.5,1.5,1.0,2018
Kevon Looney,21,4,39,5,7,0,0,0,4,4,2,6,1,1,0,0,4,10,.714,,.000,9.8,2.5,1.5,0.3,0.3,0.0,2018
Zaza Pachulia,33,2,6,1,3,0,0,6,6,1,2,3,0,0,1,1,0,8,.333,,1.000,3.0,4.0,1.5,0.0,0.0,0.5,2018
David West,37,4,28,3,5,1,1,0,0,2,3,5,4,0,3,3,4,7,.600,1.000,,7.0,1.8,1.3,1.0,0.0,0.8,2018
Nick Young,32,4,38,2,13,1,10,0,0,0,2,2,0,0,0,0,3,5,.154,.100,,9.5,1.3,0.5,0.0,0.0,0.0,2018
Quinn Cook,24,2,4,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,.333,.000,,2.0,1.0,0.0,0.0,0.0,0.0,2018
Patrick McCaw,22,4,11,0,0,0,0,2,2,1,0,1,0,1,0,0,0,2,,,1.000,2.8,0.5,0.3,0.0,0.3,0.0,2018
Team Totals,,4,985,174,339,51,136,65,76,27,133,160,111,26,32,37,87,464,.513,.375,.855,246.3,116.0,40.0,27.8,6.5,8.0,2018
Kyrie Irving,24,5,202,58,123,13,31,18,20,8,12,20,22,5,1,16,16,147,.472,.419,.900,40.4,29.4,4.0,4.4,1.0,0.2,2017
Kevin Love,28,5,161,26,67,12,31,16,20,18,38,56,5,11,5,5,14,80,.388,.387,.800,32.2,16.0,11.2,1.0,2.2,1.0,2017
J.R. Smith,31,5,146,20,37,18,31,1,3,1,7,8,2,3,2,4,14,59,.541,.581,.333,29.2,11.8,1.6,0.4,0.6,0.4,2017
Richard Jefferson,36,5,83,8,18,1,9,12,18,5,7,12,2,1,1,4,17,29,.444,.111,.667,16.6,5.8,2.4,0.4,0.2,0.2,2017
Tristan Thompson,25,5,132,12,22,0,0,4,6,14,15,29,13,3,3,7,10,28,.545,,.667,26.4,5.6,5.8,2.6,0.6,0.6,2017
Kyle Korver,35,5,97,7,19,5,16,3,3,0,6,6,2,1,1,2,10,22,.368,.313,1.000,19.4,4.4,1.2,0.4,0.2,0.2,2017
Iman Shumpert,26,5,66,4,17,2,9,8,10,1,9,10,4,3,0,2,10,18,.235,.222,.800,13.2,3.6,2.0,0.8,0.6,0.0,2017
Dahntay Jones,36,3,10,2,3,1,2,4,4,1,3,4,0,0,0,0,0,9,.667,.500,1.000,3.3,3.0,1.3,0.0,0.0,0.0,2017
Derrick Williams,25,3,10,2,6,1,2,2,2,0,1,1,1,0,0,0,0,7,.333,.500,1.000,3.3,2.3,0.3,0.3,0.0,0.0,2017
Deron Williams,32,5,61,2,16,1,9,0,0,1,7,8,6,2,0,5,8,5,.125,.111,,12.2,1.0,1.6,1.2,0.4,0.0,2017
Channing Frye,33,1,11,1,5,0,1,0,0,0,3,3,1,0,0,0,0,2,.200,.000,,11.0,2.0,3.0,1.0,0.0,0.0,2017
James Jones,36,3,8,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,.000,.000,,2.7,0.0,0.3,0.0,0.0,0.0,2017
Team Totals,,5,1199,208,451,66,173,92,123,58,160,218,108,36,18,66,112,574,.461,.382,.748,239.8,114.8,43.6,21.6,7.2,3.6,2017
Stephen Curry,28,5,189,40,91,19,49,35,39,11,29,40,47,11,0,19,14,134,.440,.388,.897,37.8,26.8,8.0,9.4,2.2,0.0,2017
Klay Thompson,26,5,183,30,70,17,40,5,7,4,20,24,11,2,1,4,16,82,.429,.425,.714,36.6,16.4,4.8,2.2,0.4,0.2,2017
Draymond Green,26,5,177,19,55,7,25,10,15,10,41,51,24,8,3,12,22,55,.345,.280,.667,35.4,11.0,10.2,4.8,1.6,0.6,2017
Andre Iguodala,33,5,141,18,34,5,15,2,6,4,13,17,17,6,5,5,10,43,.529,.333,.333,28.2,8.6,3.4,3.4,1.2,1.0,2017
Shaun Livingston,31,5,75,15,28,0,0,3,3,2,3,5,6,1,0,1,10,33,.536,,1.000,15.0,6.6,1.0,1.2,0.2,0.0,2017
David West,36,5,50,10,17,0,1,1,2,2,8,10,3,0,3,2,7,21,.588,.000,.500,10.0,4.2,2.0,0.6,0.0,0.6,2017
Ian Clark,25,4,44,7,16,3,11,2,2,0,4,4,3,1,0,2,4,19,.438,.273,1.000,11.0,4.8,1.0,0.8,0.3,0.0,2017
Zaza Pachulia,32,5,66,7,13,0,0,2,5,9,5,14,2,2,0,8,14,16,.538,,.400,13.2,3.2,2.8,0.4,0.4,0.0,2017
Patrick McCaw,21,5,34,3,11,1,5,4,4,4,6,10,2,1,0,1,2,11,.273,.200,1.000,6.8,2.2,2.0,0.4,0.2,0.0,2017
JaVale McGee,29,4,22,4,6,0,0,3,4,7,3,10,3,0,2,1,7,11,.667,,.750,5.5,2.8,2.5,0.8,0.0,0.5,2017
James Michael McAdoo,24,4,11,2,3,0,0,0,0,1,1,2,0,1,0,0,2,4,.667,,,2.8,1.0,0.5,0.0,0.3,0.0,2017
Matt Barnes,36,5,9,1,3,1,2,0,0,0,1,1,2,0,0,1,1,3,.333,.500,,1.8,0.6,0.2,0.4,0.0,0.0,2017
Team Totals,,5,1200,216,455,71,186,105,128,61,168,229,147,38,22,67,122,608,.475,.382,.820,240.0,121.6,45.8,29.4,7.6,4.4,2017
Klay Thompson,25,7,247,47,110,21,60,22,28,4,17,21,13,7,4,15,13,137,.427,.350,.786,35.3,19.6,3.0,1.9,1.0,0.6,2016
Draymond Green,25,6,240,34,70,13,32,18,23,5,57,62,38,10,6,12,19,99,.486,.406,.783,40.0,16.5,10.3,6.3,1.7,1.0,2016
Harrison Barnes,23,7,222,25,71,9,29,6,10,6,25,31,10,5,3,4,11,65,.352,.310,.600,31.7,9.3,4.4,1.4,0.7,0.4,2016
Andre Iguodala,32,7,239,27,58,7,23,3,9,16,28,44,29,6,5,8,10,64,.466,.304,.333,34.1,9.1,6.3,4.1,0.9,0.7,2016
Shaun Livingston,30,7,148,23,45,0,1,12,14,5,19,24,20,2,2,9,14,58,.511,.000,.857,21.1,8.3,3.4,2.9,0.3,0.3,2016
Leandro Barbosa,33,6,79,18,28,5,10,8,11,2,4,6,5,3,1,3,9,49,.643,.500,.727,13.2,8.2,1.0,0.8,0.5,0.2,2016
Andrew Bogut,31,5,60,8,17,0,1,0,0,9,6,15,3,2,10,5,13,16,.471,.000,,12.0,3.2,3.0,0.6,0.4,2.0,2016
Festus Ezeli,26,7,61,6,20,0,0,2,4,7,6,13,3,1,1,2,10,14,.300,,.500,8.7,2.0,1.9,0.4,0.1,0.1,2016
Marreese Speights,28,7,33,4,18,4,10,2,2,3,6,9,2,1,2,2,6,14,.222,.400,1.000,4.7,2.0,1.3,0.3,0.1,0.3,2016
Ian Clark,24,4,19,5,8,3,5,0,0,1,2,3,2,0,0,3,2,13,.625,.600,,4.8,3.3,0.8,0.5,0.0,0.0,2016
Anderson Varejão,33,6,41,0,4,0,0,7,14,6,2,8,6,1,0,2,11,7,.000,,.500,6.8,1.2,1.3,1.0,0.2,0.0,2016
James Michael McAdoo,23,3,18,2,2,0,0,0,0,0,4,4,1,0,0,0,5,4,1.000,,,6.0,1.3,1.3,0.3,0.0,0.0,2016
Brandon Rush,30,5,28,0,3,0,1,1,2,0,5,5,0,2,1,1,2,1,.000,.000,.500,5.6,0.2,1.0,0.0,0.4,0.2,2016
Team Totals,,7,1681,249,578,94,252,107,145,72,207,279,158,46,40,96,150,699,.431,.373,.738,240.1,99.9,39.9,22.6,6.6,5.7,2016
Kyrie Irving,23,7,273,72,154,15,37,31,33,8,19,27,27,15,5,18,18,190,.468,.405,.939,39.0,27.1,3.9,3.9,2.1,0.7,2016
J.R. Smith,30,7,261,26,65,16,45,6,9,2,17,19,11,10,2,5,27,74,.400,.356,.667,37.3,10.6,2.7,1.6,1.4,0.3,2016
Tristan Thompson,24,7,226,28,44,0,0,16,30,27,44,71,5,2,6,3,21,72,.636,,.533,32.3,10.3,10.1,0.7,0.3,0.9,2016
Kevin Love,27,6,158,17,47,5,19,12,17,8,33,41,8,4,2,9,12,51,.362,.263,.706,26.3,8.5,6.8,1.3,0.7,0.3,2016
Richard Jefferson,35,7,168,16,31,1,6,7,11,12,25,37,3,9,1,8,16,40,.516,.167,.636,24.0,5.7,5.3,0.4,1.3,0.1,2016
Iman Shumpert,25,7,128,7,23,4,15,3,3,3,8,11,1,1,2,7,10,21,.304,.267,1.000,18.3,3.0,1.6,0.1,0.1,0.3,2016
Matthew Dellavedova,25,6,46,5,19,1,6,5,6,2,1,3,6,0,0,3,7,16,.263,.167,.833,7.7,2.7,0.5,1.0,0.0,0.0,2016
Mo Williams,33,6,29,4,12,1,5,0,0,0,3,3,1,3,0,5,3,9,.333,.200,,4.8,1.5,0.5,0.2,0.5,0.0,2016
Dahntay Jones,35,6,18,2,4,0,0,4,5,0,2,2,0,0,1,0,2,8,.500,,.800,3.0,1.3,0.3,0.0,0.0,0.2,2016
Timofey Mozgov,29,5,25,2,6,0,0,3,4,3,5,8,0,3,1,4,8,7,.333,,.750,5.0,1.4,1.6,0.0,0.6,0.2,2016
Jordan McRae,24,1,3,2,2,0,0,0,0,0,1,1,0,0,0,0,0,4,1.000,,,3.0,4.0,1.0,0.0,0.0,0.0,2016
Channing Frye,32,4,33,0,3,0,1,2,2,0,3,3,0,0,2,0,5,2,.000,.000,1.000,8.3,0.5,0.8,0.0,0.0,0.5,2016
James Jones,35,5,20,0,1,0,1,1,4,0,2,2,2,0,0,0,2,1,.000,.000,.250,4.0,0.2,0.4,0.4,0.0,0.0,2016
Team Totals,,7,1680,263,577,56,170,121,167,82,225,307,126,65,38,93,147,703,.456,.329,.725,240.0,100.4,43.9,18.0,9.3,5.4,2016
Timofey Mozgov,28,6,170,27,49,0,0,30,40,18,27,45,6,3,9,15,13,84,.551,,.750,28.3,14.0,7.5,1.0,0.5,1.5,2015
J.R. Smith,29,6,202,24,77,15,51,6,10,2,24,26,6,3,5,4,19,69,.312,.294,.600,33.7,11.5,4.3,1.0,0.5,0.8,2015
Tristan Thompson,23,6,247,24,48,0,0,12,20,32,46,78,2,4,6,5,16,60,.500,,.600,41.2,10.0,13.0,0.3,0.7,1.0,2015
Matthew Dellavedova,24,6,191,15,53,6,26,9,11,4,12,16,16,7,0,15,19,45,.283,.231,.818,31.8,7.5,2.7,2.7,1.2,0.0,2015
Iman Shumpert,24,6,215,11,43,8,25,9,14,6,17,23,4,11,4,7,19,39,.256,.320,.643,35.8,6.5,3.8,0.7,1.8,0.7,2015
Kyrie Irving,22,1,44,10,22,2,8,1,1,2,5,7,6,4,2,1,5,23,.455,.250,1.000,44.0,23.0,7.0,6.0,4.0,2.0,2015
James Jones,34,6,113,6,19,4,13,4,4,0,8,8,2,4,1,4,19,20,.316,.308,1.000,18.8,3.3,1.3,0.3,0.7,0.2,2015
Mike Miller,34,5,28,1,2,1,2,0,0,0,1,1,0,1,0,1,3,3,.500,.500,,5.6,0.6,0.2,0.0,0.2,0.0,2015
Kendrick Perkins,30,1,3,0,2,0,0,2,2,0,1,1,0,0,0,0,1,2,.000,,1.000,3.0,2.0,1.0,0.0,0.0,0.0,2015
Joe Harris,23,2,3,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,,,.500,1.5,0.5,0.0,0.0,0.0,0.0,2015
Team Totals,,6,1490,196,511,49,167,120,171,75,210,285,95,45,30,73,133,561,.384,.293,.702,248.3,93.5,47.5,15.8,7.5,5.0,2015
Andre Iguodala,31,6,222,37,71,14,35,10,28,6,29,35,24,8,2,6,18,98,.521,.400,.357,37.0,16.3,5.8,4.0,1.3,0.3,2015
Klay Thompson,24,6,227,36,88,12,40,11,12,2,24,26,10,3,6,5,20,95,.409,.300,.917,37.8,15.8,4.3,1.7,0.5,1.0,2015
Draymond Green,24,6,222,24,63,5,19,25,34,8,42,50,30,13,7,13,28,78,.381,.263,.735,37.0,13.0,8.3,5.0,2.2,1.2,2015
Harrison Barnes,22,6,198,19,51,8,19,7,9,18,17,35,5,5,3,4,17,53,.373,.421,.778,33.0,8.8,5.8,0.8,0.8,0.5,2015
Leandro Barbosa,32,6,64,12,26,3,7,4,4,2,8,10,3,3,1,4,7,31,.462,.429,1.000,10.7,5.2,1.7,0.5,0.5,0.2,2015
Shaun Livingston,29,6,120,12,25,0,1,6,8,5,16,21,13,2,2,6,11,30,.480,.000,.750,20.0,5.0,3.5,2.2,0.3,0.3,2015
Festus Ezeli,25,5,50,7,15,0,0,8,11,7,10,17,2,0,3,4,9,22,.467,,.727,10.0,4.4,3.4,0.4,0.0,0.6,2015
David Lee,31,4,39,8,15,0,0,6,11,2,8,10,6,1,0,1,8,22,.533,,.545,9.8,5.5,2.5,1.5,0.3,0.0,2015
Andrew Bogut,30,4,74,4,9,0,0,2,4,5,19,24,6,1,5,4,11,10,.444,,.500,18.5,2.5,6.0,1.5,0.3,1.3,2015
Marreese Speights,27,3,16,4,13,0,0,1,2,3,2,5,1,1,0,1,3,9,.308,,.500,5.3,3.0,1.7,0.3,0.3,0.0,2015
Justin Holiday,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0,2015
James Michael McAdoo,22,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0,2015
Team Totals,,6,1490,217,498,67,186,103,149,63,202,265,138,48,30,76,145,604,.436,.360,.691,248.3,100.7,44.2,23.0,8.0,5.0,2015
Dwyane Wade,32,5,172,28,64,2,6,18,26,3,16,19,13,8,0,18,14,76,.438,.333,.692,34.4,15.2,3.8,2.6,1.6,0.0,2014
Chris Bosh,29,5,181,28,51,5,13,9,11,3,23,26,5,4,1,4,12,70,.549,.385,.818,36.2,14.0,5.2,1.0,0.8,0.2,2014
Ray Allen,38,5,155,17,41,9,22,6,7,5,10,15,9,8,1,8,14,49,.415,.409,.857,31.0,9.8,3.0,1.8,1.6,0.2,2014
Rashard Lewis,34,5,114,16,32,10,22,1,2,0,8,8,2,0,2,1,10,43,.500,.455,.500,22.8,8.6,1.6,0.4,0.0,0.4,2014
Mario Chalmers,27,5,116,7,21,1,7,7,9,0,7,7,14,5,1,10,16,22,.333,.143,.778,23.2,4.4,1.4,2.8,1.0,0.2,2014
Norris Cole,25,5,84,6,19,1,7,3,4,0,6,6,9,2,0,6,8,16,.316,.143,.750,16.8,3.2,1.2,1.8,0.4,0.0,2014
Chris Andersen,35,5,90,3,12,0,0,7,10,6,22,28,0,2,3,3,14,13,.250,,.700,18.0,2.6,5.6,0.0,0.4,0.6,2014
James Jones,33,4,14,4,7,3,6,0,0,0,2,2,0,0,0,0,4,11,.571,.500,,3.5,2.8,0.5,0.0,0.0,0.0,2014
Michael Beasley,25,1,17,4,7,0,0,1,3,2,1,3,1,0,0,1,2,9,.571,,.333,17.0,9.0,3.0,1.0,0.0,0.0,2014
Toney Douglas,27,3,10,1,4,1,4,1,2,0,3,3,2,0,0,1,1,4,.250,.250,.500,3.3,1.3,1.0,0.7,0.0,0.0,2014
Udonis Haslem,33,4,22,2,5,0,0,0,0,2,2,4,0,0,1,0,4,4,.400,,,5.5,1.0,1.0,0.0,0.0,0.3,2014
Shane Battier,35,4,33,0,2,0,2,0,0,0,1,1,1,1,0,1,5,0,.000,.000,,8.3,0.0,0.3,0.3,0.3,0.0,2014
Greg Oden,26,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,1.5,0.0,0.0,0.0,0.0,0.0,2014
Team Totals,,5,1200,168,356,46,116,76,103,28,133,161,76,40,11,72,115,458,.472,.397,.738,240.0,91.6,32.2,15.2,8.0,2.2,2014
Kawhi Leonard,22,5,167,30,49,11,19,18,23,8,24,32,10,8,6,9,22,89,.612,.579,.783,33.4,17.8,6.4,2.0,1.6,1.2,2014
Tim Duncan,37,5,165,29,51,0,1,19,28,13,37,50,10,2,4,12,12,77,.569,.000,.679,33.0,15.4,10.0,2.0,0.4,0.8,2014
Manu Ginóbili,36,5,143,24,48,10,24,14,16,0,15,15,22,5,1,12,16,72,.500,.417,.875,28.6,14.4,3.0,4.4,1.0,0.2,2014
Patty Mills,25,5,76,19,35,13,23,0,0,1,6,7,8,2,0,1,5,51,.543,.565,,15.2,10.2,1.4,1.6,0.4,0.0,2014
Danny Green,26,5,106,17,32,9,20,3,4,2,8,10,6,10,2,6,14,46,.531,.450,.750,21.2,9.2,2.0,1.2,2.0,0.4,2014
Boris Diaw,31,5,176,12,33,3,9,4,8,9,34,43,29,4,1,8,5,31,.364,.333,.500,35.2,6.2,8.6,5.8,0.8,0.2,2014
Tiago Splitter,29,5,84,12,17,0,0,7,9,3,14,17,10,3,3,6,9,31,.706,,.778,16.8,6.2,3.4,2.0,0.6,0.6,2014
Marco Belinelli,27,5,59,8,17,4,9,3,4,0,6,6,3,1,0,3,3,23,.471,.444,.750,11.8,4.6,1.2,0.6,0.2,0.0,2014
Aron Baynes,27,3,6,2,2,0,0,2,2,2,0,2,0,0,0,0,0,6,1.000,,1.000,2.0,2.0,0.7,0.0,0.0,0.0,2014
Jeff Ayres,26,3,7,1,1,0,0,3,4,1,1,2,1,0,0,0,1,5,1.000,,.750,2.3,1.7,0.7,0.3,0.0,0.0,2014
Matt Bonner,33,4,27,1,1,0,0,3,4,0,3,3,5,1,0,0,2,5,1.000,,.750,6.8,1.3,0.8,1.3,0.3,0.0,2014
Cory Joseph,22,3,8,1,3,0,1,0,0,0,0,0,0,0,0,0,1,2,.333,.000,,2.7,0.7,0.0,0.0,0.0,0.0,2014
Team Totals,,5,1200,191,362,55,118,91,122,39,150,189,127,40,17,67,99,528,.528,.466,.746,240.0,105.6,37.8,25.4,8.0,3.4,2014
Tony Parker,30,7,246,42,102,2,7,24,33,3,10,13,45,7,1,15,7,110,.412,.286,.727,35.1,15.7,1.9,6.4,1.0,0.1,2013
Kawhi Leonard,21,7,255,41,80,8,23,12,17,21,57,78,6,14,3,7,16,102,.513,.348,.706,36.4,14.6,11.1,0.9,2.0,0.4,2013
Danny Green,25,7,248,32,72,27,49,7,8,6,23,29,5,7,11,8,24,98,.444,.551,.875,35.4,14.0,4.1,0.7,1.0,1.6,2013
