Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MPPerGame,PTSPerGame,TRBPerGame,ASTPerGame,STLPerGame,BLKPerGame,year
Reggie Jackson,32,1,1,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,.000,.000,,1.0,0.0,1.0,1.0,0.0,0.0,2023
DeAndre Jordan,34,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,1.0,2023
Zeke Nnaji,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2023
Peyton Watson,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0,0.0,2023
Team Totals,,5,1198,197,397,43,129,86,113,44,188,232,127,31,25,56,78,523,.496,.333,.761,239.6,104.6,46.4,25.4,6.2,5.0,2023
Jayson Tatum,23,6,244,44,120,20,44,21,32,5,36,41,42,7,4,23,15,129,.367,.455,.656,40.7,21.5,6.8,7.0,1.2,0.7,2022
Marcus Smart,27,6,213,34,79,14,34,9,12,6,21,27,30,9,0,19,19,91,.430,.412,.750,35.5,15.2,4.5,5.0,1.5,0.0,2022
Al Horford,35,6,191,26,43,15,24,8,12,10,41,51,17,4,4,10,12,75,.605,.625,.667,31.8,12.5,8.5,2.8,0.7,0.7,2022
Derrick White,27,6,159,18,55,10,25,13,14,1,8,9,13,4,3,10,9,59,.327,.400,.929,26.5,9.8,1.5,2.2,0.7,0.5,2022
Robert Williams,24,6,158,20,26,0,0,5,6,17,28,45,9,5,17,4,10,45,.769,,.833,26.3,7.5,7.5,1.5,0.8,2.8,2022
Grant Williams,23,6,102,9,17,3,10,4,6,3,11,14,6,1,4,4,14,25,.529,.300,.667,17.0,4.2,2.3,1.0,0.2,0.7,2022
Payton Pritchard,24,6,67,6,20,3,14,1,2,4,9,13,6,1,0,5,1,16,.300,.214,.500,11.2,2.7,2.2,1.0,0.2,0.0,2022
Aaron Nesmith,22,5,16,2,6,0,3,3,4,1,3,4,2,1,0,0,1,7,.333,.000,.750,3.2,1.4,0.8,0.4,0.2,0.0,2022
Luke Kornet,26,3,6,2,2,1,1,0,0,0,2,2,1,0,0,1,0,5,1.000,1.000,,2.0,1.7,0.7,0.3,0.0,0.0,2022
Malik Fitts,24,3,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,1.000,1.000,,2.0,1.0,0.0,0.0,0.0,0.0,2022
Sam Hauser,24,5,11,1,3,1,2,0,0,0,0,0,2,0,0,0,0,3,.333,.500,,2.2,0.6,0.0,0.4,0.0,0.0,2022
Nik Stauskas,28,5,9,1,4,1,4,0,0,0,3,3,1,0,0,0,0,3,.250,.250,,1.8,0.6,0.6,0.2,0.0,0.0,2022
Daniel Theis,29,2,20,1,2,1,2,0,0,0,5,5,1,0,2,1,1,3,.500,.500,,10.0,1.5,2.5,0.5,0.0,1.0,2022
Juwan Morgan,24,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.3,0.0,0.3,0.0,0.0,0.0,2022
Team Totals,,6,1440,215,494,86,211,89,119,58,201,259,152,37,36,97,97,605,.435,.408,.748,240.0,100.8,43.2,25.3,6.2,6.0,2022
Andrew Wiggins,26,6,235,45,101,11,37,9,13,12,41,53,13,9,9,11,13,110,.446,.297,.692,39.2,18.3,8.8,2.2,1.5,1.5,2022
Klay Thompson,31,6,230,36,101,20,57,10,10,2,16,18,12,8,3,7,13,102,.356,.351,1.000,38.3,17.0,3.0,2.0,1.3,0.5,2022
Jordan Poole,22,6,125,27,62,15,39,10,11,1,10,11,11,3,1,12,12,79,.435,.385,.909,20.8,13.2,1.8,1.8,0.5,0.2,2022
Draymond Green,31,6,217,14,42,2,16,7,12,14,34,48,37,10,4,15,25,37,.333,.125,.583,36.2,6.2,8.0,6.2,1.7,0.7,2022
Gary Payton II,29,5,93,13,22,2,7,7,10,4,12,16,7,8,2,2,13,35,.591,.286,.700,18.6,7.0,3.2,1.4,1.6,0.4,2022
Otto Porter Jr.,28,6,102,10,17,9,16,2,2,2,10,12,6,6,1,2,5,31,.588,.563,1.000,17.0,5.2,2.0,1.0,1.0,0.2,2022
Kevon Looney,25,6,130,14,22,0,0,2,2,21,24,45,16,4,5,10,17,30,.636,,1.000,21.7,5.0,7.5,2.7,0.7,0.8,2022
Nemanja Bjelica,33,5,29,4,8,1,2,0,0,1,7,8,1,2,0,2,4,9,.500,.500,,5.8,1.8,1.6,0.2,0.4,0.0,2022
Andre Iguodala,38,4,19,3,4,1,1,0,0,0,0,0,5,0,0,1,3,7,.750,1.000,,4.8,1.8,0.0,1.3,0.0,0.0,2022
Moses Moody,19,4,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1.000,,,2.8,0.5,0.0,0.0,0.0,0.3,2022
Jonathan Kuminga,19,4,8,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,2.0,0.0,0.3,0.0,0.0,0.0,2022
Damion Lee,29,4,8,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,0.0,0.0,0.0,2022
Juan Toscano-Anderson,28,4,8,0,1,0,1,0,0,0,2,2,3,0,0,2,2,0,.000,.000,,2.0,0.0,0.5,0.8,0.0,0.0,2022
Team Totals,,6,1440,233,523,92,251,71,88,59,191,250,141,62,27,79,125,629,.446,.367,.807,240.0,104.8,41.7,23.5,10.3,4.5,2022
Chris Paul,35,6,224,55,100,12,23,9,12,4,12,16,49,4,1,21,19,131,.550,.522,.750,37.3,21.8,2.7,8.2,0.7,0.2,2021
Deandre Ayton,22,6,225,34,64,0,0,20,22,13,59,72,11,9,9,8,23,88,.531,,.909,37.5,14.7,12.0,1.8,1.5,1.5,2021
Mikal Bridges,24,6,192,26,49,9,21,11,12,4,21,25,7,6,3,7,10,72,.531,.429,.917,32.0,12.0,4.2,1.2,1.0,0.5,2021
Jae Crowder,30,6,223,21,51,16,39,12,14,4,47,51,10,10,6,7,20,70,.412,.410,.857,37.2,11.7,8.5,1.7,1.7,1.0,2021
Cameron Johnson,24,6,136,17,35,10,23,7,7,4,15,19,5,3,3,4,12,51,.486,.435,1.000,22.7,8.5,3.2,0.8,0.5,0.5,2021
Cameron Payne,26,6,94,19,41,5,14,1,2,2,13,15,10,4,0,5,6,44,.463,.357,.500,15.7,7.3,2.5,1.7,0.7,0.0,2021
Torrey Craig,30,6,64,6,15,3,10,2,4,2,6,8,1,0,0,2,7,17,.400,.300,.500,10.7,2.8,1.3,0.2,0.0,0.0,2021
Frank Kaminsky,27,4,29,6,9,0,0,0,0,2,4,6,3,1,0,1,1,12,.667,,,7.3,3.0,1.5,0.8,0.3,0.0,2021
Ty-Shon Alexander,22,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,0.0,0.0,2021
Abdel Nader,27,2,8,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,.000,.000,,4.0,0.0,0.0,0.0,0.0,0.0,2021
Dario Šarić,26,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,.000,,,2.0,0.0,1.0,0.0,0.0,0.0,2021
Team Totals,,6,1439,250,510,66,172,90,105,42,192,234,120,42,24,74,122,656,.490,.384,.857,239.8,109.3,39.0,20.0,7.0,4.0,2021
Khris Middleton,29,6,255,56,125,16,45,16,18,2,36,38,32,9,0,19,14,144,.448,.356,.889,42.5,24.0,6.3,5.3,1.5,0.0,2021
Jrue Holiday,30,6,250,39,108,11,35,11,12,7,30,37,56,13,4,13,11,100,.361,.314,.917,41.7,16.7,6.2,9.3,2.2,0.7,2021
Brook Lopez,32,6,147,28,58,5,21,8,10,11,21,32,1,4,4,6,13,69,.483,.238,.800,24.5,11.5,5.3,0.2,0.7,0.7,2021
Pat Connaughton,28,6,180,19,40,15,34,2,4,10,25,35,7,1,0,5,14,55,.475,.441,.500,30.0,9.2,5.8,1.2,0.2,0.0,2021
