Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
Jordan McRae,24,1,0,3,1.000,1.000,0.0,37.8,19.4,0.0,0.0,0.0,0.0,29.2,200,96,3.7,2016
Channing Frye,32,4,0,33,.258,.000,0.0,11.3,5.2,0.0,0.0,6.4,0.0,5.3,66,114,0.1,2016
James Jones,35,5,0,20,.181,.000,0.0,13.1,6.1,10.1,0.0,0.0,0.0,6.3,75,117,0.1,2016
Team Totals,28.1,7,,1680,.540,.504,28.4,75.8,52.4,47.9,10.1,11.7,12.5,,109.1,108.5,,2016
Timofey Mozgov,28,6,6,170,.631,.551,10.4,16.9,14.0,7.0,0.9,4.7,18.4,21.4,113,105,11.8,2015
J.R. Smith,29,6,0,202,.424,.409,1.0,13.1,7.1,5.5,0.8,2.3,4.7,19.0,92,109,5.1,2015
Tristan Thompson,23,6,6,247,.528,.500,14.0,20.4,17.1,1.2,0.9,2.4,8.1,11.4,118,107,11.2,2015
Matthew Dellavedova,24,6,5,191,.389,.340,2.4,6.3,4.4,14.4,2.0,0.0,20.6,17.4,77,109,2.5,2015
Iman Shumpert,24,6,6,215,.397,.349,3.0,8.8,5.8,3.4,2.7,1.8,12.5,11.7,83,107,3.8,2015
Kyrie Irving,22,1,1,44,.512,.500,4.9,14.1,9.1,27.2,5.0,4.0,4.3,25.1,115,105,21.1,2015
James Jones,34,6,0,113,.482,.421,0.0,8.1,3.8,3.3,1.9,0.9,16.2,9.7,84,109,1.0,2015
Mike Miller,34,5,0,28,.750,.750,0.0,3.7,1.9,0.0,1.9,0.0,33.3,4.9,70,112,0.2,2015
Kendrick Perkins,30,1,0,3,.347,.000,0.0,39.7,16.6,0.0,0.0,0.0,0.0,40.8,87,113,0.5,2015
Joe Harris,23,2,0,3,.568,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,122,121,0.3,2015
Team Totals,27.2,6,,1490,.478,.432,27.1,76.9,51.8,48.5,8.0,9.6,11.1,,99.6,107.3,,2015
Andre Iguodala,31,6,3,222,.588,.620,2.9,14.1,8.6,18.9,1.9,0.8,6.7,18.7,117,100,13.6,2015
Klay Thompson,24,6,6,227,.509,.477,0.9,11.7,6.2,8.3,0.7,2.2,5.1,20.2,105,103,9.5,2015
Draymond Green,24,6,6,222,.500,.421,3.7,20.3,12.2,21.9,3.1,2.7,14.3,19.1,105,94,12.1,2015
Harrison Barnes,22,6,6,198,.482,.451,10.4,8.8,9.8,3.8,1.3,1.3,6.8,13.9,107,103,6.9,2015
Leandro Barbosa,32,6,0,64,.558,.519,3.2,13.9,8.6,7.5,2.4,1.4,12.6,22.9,96,100,3.4,2015
Shaun Livingston,29,6,0,120,.526,.480,4.3,13.1,9.4,16.9,0.9,1.4,17.4,13.4,107,102,4.5,2015
Festus Ezeli,25,5,0,50,.554,.467,13.9,24.0,18.5,6.2,0.0,5.2,16.8,21.7,108,102,3.4,2015
David Lee,31,4,0,39,.554,.533,4.5,21.6,13.7,29.3,1.4,0.0,4.8,25.2,117,97,4.4,2015
Andrew Bogut,30,4,3,74,.465,.444,7.6,29.8,17.7,12.3,0.7,5.8,27.1,9.5,96,95,3.5,2015
Marreese Speights,27,3,0,16,.324,.308,23.3,12.3,17.3,23.6,3.3,0.0,6.7,45.4,74,97,1.1,2015
Justin Holiday,25,1,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,105,0.0,2015
James Michael McAdoo,22,1,0,1,,,0.0,74.1,43.0,0.0,0.0,0.0,,0.0,,61,0.3,2015
Team Totals,26.5,6,,1490,.536,.503,23.1,72.9,48.2,63.6,8.5,8.7,11.9,,107.3,99.6,,2015
Dwyane Wade,32,5,5,172,.504,.453,2.3,12.4,7.7,13.7,2.6,0.0,19.3,27.5,89,120,7.9,2014
Chris Bosh,29,5,5,181,.627,.598,2.1,18.7,9.8,5.1,1.2,0.5,6.7,16.7,119,122,10.6,2014
Ray Allen,38,5,1,155,.556,.524,4.7,9.2,6.5,9.9,2.7,0.6,15.4,17.0,104,120,6.9,2014
Rashard Lewis,34,5,5,114,.654,.656,0.0,10.7,5.2,3.2,0.0,1.6,3.0,15.0,123,127,5.4,2014
Mario Chalmers,27,5,4,116,.441,.357,0.0,8.6,4.3,18.5,2.3,1.0,28.6,15.3,81,120,2.1,2014
Norris Cole,25,5,0,84,.385,.342,0.0,10.4,4.8,16.2,1.2,0.0,22.4,16.3,75,125,1.1,2014
Chris Andersen,35,5,0,90,.396,.250,9.3,32.7,21.4,0.0,1.2,3.5,15.5,11.1,87,115,2.2,2014
James Jones,33,4,0,14,.786,.786,0.0,21.7,10.6,0.0,0.0,0.0,0.0,26.2,164,122,1.7,2014
Michael Beasley,25,1,0,17,.541,.571,14.5,6.7,10.4,15.1,0.0,0.0,10.7,27.1,105,122,5.5,2014
Toney Douglas,27,3,0,10,.410,.375,0.0,39.9,19.1,36.1,0.0,0.0,17.0,29.5,85,123,0.7,2014
Udonis Haslem,33,4,0,22,.400,.400,11.3,11.6,11.7,0.0,0.0,4.1,0.0,11.3,99,122,0.6,2014
Shane Battier,35,4,0,33,.000,.000,0.0,5.4,2.2,4.0,1.6,0.0,33.3,4.6,21,124,-0.6,2014
Greg Oden,26,2,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,135,-0.2,2014
Team Totals,30.8,5,,1200,.571,.537,15.7,77.3,46.0,45.2,9.1,4.5,15.2,,104.8,120.8,,2014
Kawhi Leonard,22,5,5,167,.753,.724,6.8,18.9,12.9,9.8,2.7,3.7,13.2,20.5,136,101,15.8,2014
Tim Duncan,37,5,5,165,.608,.569,10.2,30.0,20.6,9.8,0.7,2.3,15.9,22.5,114,105,12.9,2014
Manu Ginóbili,36,5,0,143,.654,.604,0.0,14.0,7.3,24.8,1.9,0.7,17.9,23.1,118,105,10.9,2014
Patty Mills,25,5,0,76,.729,.729,2.3,10.7,6.8,19.1,1.4,0.0,2.8,23.6,139,107,8.2,2014
Danny Green,26,5,5,106,.681,.672,3.1,10.0,6.5,9.9,5.2,2.0,15.1,18.8,112,98,7.6,2014
Boris Diaw,31,5,3,176,.424,.409,7.0,26.1,16.6,22.5,1.3,0.7,18.0,12.6,108,105,8.5,2014
Tiago Splitter,29,5,2,84,.740,.706,5.7,23.1,14.3,17.6,2.0,3.5,22.3,15.8,126,103,6.4,2014
Marco Belinelli,27,5,0,59,.613,.588,0.0,13.5,6.9,7.9,0.9,0.0,13.8,18.1,105,110,2.9,2014
Aron Baynes,27,3,0,6,1.042,1.000,41.9,0.0,20.5,0.0,0.0,0.0,0.0,23.8,222,111,2.3,2014
Jeff Ayres,26,3,0,7,.906,1.000,22.4,24.6,23.8,18.5,0.0,0.0,0.0,21.4,197,107,1.9,2014
Matt Bonner,33,4,0,27,.906,1.000,0.0,15.5,8.3,24.5,2.1,0.0,0.0,5.3,205,105,2.2,2014
Cory Joseph,22,3,0,8,.333,.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,46,110,0.0,2014
Team Totals,29.2,5,,1200,.635,.604,22.7,84.3,54.0,66.5,9.1,7.1,13.9,,120.8,104.8,,2014
Tony Parker,30,7,7,246,.472,.422,1.5,4.9,3.2,33.5,1.5,0.3,11.4,25.4,103,113,11.2,2013
Kawhi Leonard,21,7,7,255,.583,.563,9.6,26.3,18.1,3.7,3.0,0.9,7.4,17.5,120,103,14.2,2013
Danny Green,25,7,7,248,.649,.632,2.7,10.9,7.1,3.7,1.5,3.6,9.6,15.8,115,108,10.2,2013
Manu Ginóbili,35,7,3,199,.560,.492,0.6,8.3,4.5,24.6,1.4,0.0,23.3,22.4,101,112,6.7,2013
Gary Neal,28,7,0,171,.552,.534,0.6,11.1,5.8,6.0,0.0,0.0,11.8,18.6,100,115,4.7,2013
Tiago Splitter,28,7,4,107,.509,.448,6.1,8.9,7.8,4.3,2.5,2.2,21.2,18.7,91,107,2.9,2013
Boris Diaw,30,6,0,94,.615,.563,6.8,12.5,9.9,17.0,0.0,0.8,20.4,12.4,116,116,3.5,2013
DeJuan Blair,23,3,0,17,.446,.455,12.6,43.0,27.3,8.9,6.3,0.0,0.0,32.6,95,95,3.3,2013
Matt Bonner,32,6,0,36,.506,.450,0.0,23.1,11.1,3.1,1.4,0.0,0.0,14.0,111,106,1.4,2013
Cory Joseph,21,6,0,43,.473,.444,7.8,8.6,8.2,21.6,2.6,0.0,30.0,18.0,85,106,1.6,2013
Patty Mills,24,2,0,13,.400,.400,0.0,8.5,4.1,0.0,0.0,0.0,0.0,17.3,93,115,0.8,2013
Nando De Colo,25,2,0,5,,,0.0,25.2,12.4,30.9,0.0,0.0,,0.0,226,118,0.5,2013
Tracy McGrady,33,2,0,14,.000,.000,0.0,33.5,15.9,44.2,0.0,5.2,0.0,9.5,98,103,1.7,2013
Team Totals,28.7,7,,1705,.546,.505,26.1,76.0,51.3,51.4,7.8,7.1,13.2,,109.3,108.5,,2013
Dwyane Wade,31,7,7,255,.505,.476,4.2,9.1,6.6,23.3,2.7,3.0,10.5,28.5,104,108,14.9,2013
Chris Bosh,28,7,7,240,.491,.462,9.8,20.6,15.5,10.3,3.0,3.9,7.6,18.5,108,104,12.1,2013
Ray Allen,37,7,0,193,.715,.674,1.2,9.5,5.0,8.6,0.3,0.0,14.8,15.2,121,116,7.1,2013
Mario Chalmers,26,7,7,221,.509,.485,0.5,10.8,5.3,9.9,1.2,0.0,19.8,19.7,87,112,4.6,2013
Shane Battier,34,7,0,87,.689,.667,2.7,12.0,7.3,10.2,0.6,1.9,0.0,15.4,141,110,4.5,2013
Mike Miller,32,7,4,152,.841,.841,1.5,14.8,7.7,5.4,1.4,1.1,8.3,7.7,131,112,4.9,2013
Chris Andersen,34,5,0,71,.714,.727,9.9,14.8,12.4,0.0,3.2,3.4,20.6,13.6,118,103,3.7,2013
Norris Cole,24,5,0,82,.328,.318,1.5,5.4,3.6,22.0,2.6,1.0,17.9,16.8,75,115,1.6,2013
Udonis Haslem,32,6,3,64,.477,.444,7.6,26.7,16.2,0.0,0.0,1.3,9.6,8.1,102,114,0.8,2013
James Jones,32,3,0,12,.600,.600,0.0,8.9,4.6,0.0,0.0,7.3,16.7,25.0,96,121,0.8,2013
Rashard Lewis,33,3,0,12,.333,.333,9.3,9.7,10.9,31.9,0.0,0.0,25.0,33.0,65,125,0.3,2013
Joel Anthony,30,4,0,15,.500,.500,31.3,22.0,26.5,0.0,0.0,0.0,0.0,6.8,146,117,1.1,2013
Team Totals,30.3,7,,1705,.545,.515,24.0,73.9,48.7,56.5,9.7,8.8,11.8,,108.5,109.3,,2013
Russell Westbrook,23,5,5,211,.500,.446,2.3,16.7,9.4,30.0,1.3,0.7,7.5,32.6,109,117,18.9,2012
James Harden,22,5,0,164,.529,.448,2.9,15.7,9.1,17.3,2.0,0.0,17.0,20.2,102,116,8.4,2012
Serge Ibaka,22,5,5,132,.462,.424,7.2,17.0,12.2,4.4,0.8,6.3,2.6,13.8,109,113,6.6,2012
Derek Fisher,37,5,0,128,.530,.519,0.9,6.9,3.8,4.9,2.2,0.0,0.0,9.7,117,119,4.2,2012
Kendrick Perkins,27,5,5,116,.489,.429,12.3,23.8,17.8,0.0,0.4,2.0,19.7,12.5,96,114,3.8,2012
Thabo Sefolosha,27,5,5,130,.388,.333,2.8,6.9,4.8,5.6,3.0,2.4,11.9,12.5,84,113,3.2,2012
Nick Collison,31,5,0,83,.567,.600,16.1,18.1,17.1,5.3,2.0,1.1,11.2,10.2,126,114,4.0,2012
Royal Ivey,30,1,0,3,1.500,1.500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,300,134,5.4,2012
Cole Aldrich,23,1,0,5,1.000,1.000,0.0,28.2,12.8,0.0,0.0,0.0,0.0,9.1,200,129,2.0,2012
Daequan Cook,24,3,0,11,.258,.333,0.0,0.0,0.0,17.5,0.0,0.0,0.0,16.7,66,125,-0.1,2012
Lazar Hayward,25,1,0,5,.500,.500,0.0,56.3,25.7,0.0,0.0,0.0,0.0,18.2,101,123,1.2,2012
Team Totals,24.8,5,,1200,.539,.495,24.4,74.2,48.6,43.2,8.1,8.7,10.8,,110.6,115.1,,2012
Dwyane Wade,30,5,5,203,.516,.446,3.7,14.0,9.0,25.0,1.9,2.4,11.3,29.2,108,109,16.4,2012
Chris Bosh,27,5,4,183,.525,.468,10.4,20.9,15.8,0.9,0.9,2.8,6.7,19.5,112,109,11.9,2012
Shane Battier,33,5,5,187,.851,.855,1.3,9.5,5.6,1.6,1.2,0.0,2.9,9.0,163,114,9.3,2012
Mario Chalmers,25,5,5,183,.564,.535,0.7,7.9,4.4,17.4,2.7,0.9,17.8,14.7,108,110,8.4,2012
Mike Miller,31,5,0,44,.832,.781,2.6,20.7,12.3,6.9,1.1,1.8,0.0,19.6,161,110,5.2,2012
Norris Cole,23,4,0,44,.433,.433,0.0,10.9,5.7,0.0,0.0,0.0,6.3,17.3,80,115,0.4,2012
Udonis Haslem,31,5,1,81,.514,.400,12.2,21.4,16.7,3.0,0.0,2.1,28.3,10.5,99,113,2.1,2012
James Jones,31,4,0,43,.751,.667,3.1,14.0,8.7,0.0,1.3,0.0,21.5,10.3,121,110,1.8,2012
Terrel Harris,24,1,0,3,.852,,0.0,37.0,20.1,0.0,0.0,0.0,0.0,26.8,187,110,2.9,2012
Joel Anthony,29,1,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,127,0.0,2012
Juwan Howard,38,1,0,3,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0,121,-0.7,2012
Ronny Turiaf,29,1,0,3,,,0.0,37.0,20.1,0.0,0.0,0.0,,0.0,,110,0.3,2012
Team Totals,28.4,5,,1200,.575,.518,25.8,75.6,51.4,50.6,7.5,6.4,11.4,,115.1,110.6,,2012
Chris Bosh,26,6,6,237,.496,.413,8.2,15.9,12.1,4.9,0.2,1.2,10.4,25.8,101,115,10.9,2011
LeBron James,26,6,6,262,.541,.528,2.8,19.0,10.6,28.8,2.1,1.0,19.5,22.9,102,110,13.7,2011
Mario Chalmers,24,6,1,174,.621,.574,1.5,10.3,5.9,20.4,3.2,0.0,14.9,18.8,116,110,9.8,2011
Udonis Haslem,30,6,0,176,.474,.450,5.0,17.7,11.1,3.8,1.0,1.6,10.6,13.0,98,113,4.4,2011
Mike Miller,30,6,0,94,.457,.457,3.4,19.9,11.4,8.8,3.1,0.9,14.8,14.1,87,108,2.2,2011
Mike Bibby,32,5,5,87,.475,.475,1.3,9.3,5.3,8.8,4.5,1.1,13.0,13.1,92,107,3.0,2011
Eddie House,32,2,0,25,.500,.500,0.0,20.9,10.6,7.2,4.4,0.0,10.0,19.3,91,109,2.6,2011
Juwan Howard,37,5,0,29,.589,.600,10.6,12.1,11.9,4.8,0.0,0.0,11.6,14.1,109,115,1.2,2011
Joel Anthony,28,6,6,123,.286,.286,11.3,9.1,10.1,2.6,0.5,5.2,6.7,5.9,96,112,1.9,2011
Team Totals,27.6,6,,1440,.540,.501,27.2,75.2,50.5,57.9,9.4,8.7,13.0,,107.9,110.7,,2011
Jason Terry,33,6,0,195,.605,.565,2.0,6.3,4.1,19.0,2.3,0.0,8.2,24.5,122,111,13.4,2011
Shawn Marion,32,6,6,215,.522,.479,8.4,13.7,11.2,13.4,1.3,1.7,15.1,21.3,103,109,10.0,2011
Tyson Chandler,28,6,6,224,.629,.594,13.5,16.0,14.8,3.5,1.7,2.7,6.1,10.9,138,106,11.0,2011
J.J. Barea,26,6,3,128,.456,.436,4.0,8.9,6.5,27.7,1.3,0.0,13.4,25.8,96,112,5.2,2011
Jason Kidd,37,6,6,225,.582,.556,1.2,13.8,7.6,28.6,1.8,2.0,34.7,13.4,97,109,8.0,2011
DeShawn Stevenson,29,6,3,103,.815,.813,1.3,9.0,5.3,3.9,2.1,0.8,3.7,12.7,154,108,5.8,2011
Ian Mahinmi,24,3,0,27,.625,.600,13.4,10.2,11.8,0.0,1.9,0.0,0.0,13.0,143,109,1.5,2011
Brian Cardinal,33,5,0,30,.902,1.000,0.0,3.6,1.9,4.3,1.8,0.0,43.6,11.3,83,110,0.2,2011
Brendan Haywood,31,3,0,25,.443,.333,10.5,20.5,16.1,0.0,2.3,10.1,15.1,13.0,94,96,1.6,2011
Peja Stojaković,33,4,0,26,.200,.200,0.0,14.3,7.2,0.0,4.5,0.0,28.6,13.7,25,105,-0.5,2011
Team Totals,31.5,6,,1440,.563,.513,24.8,72.8,49.5,55.1,8.4,7.5,13.5,,110.7,107.9,,2011
Kevin Garnett,33,7,7,222,.555,.511,4.6,16.4,10.9,19.5,2.6,3.2,10.2,23.9,110,103,12.3,2010
Ray Allen,34,7,7,276,.505,.433,1.5,6.7,4.2,8.2,1.0,0.0,10.6,19.9,96,111,7.3,2010
Rajon Rondo,23,7,7,272,.451,.464,7.3,12.1,9.6,38.1,2.3,0.7,15.3,22.2,98,106,12.1,2010
Glen Davis,24,7,0,144,.510,.462,12.8,17.7,15.7,3.4,2.3,1.8,13.2,17.6,103,101,5.6,2010
Rasheed Wallace,35,7,1,144,.442,.427,2.5,23.3,13.1,7.6,1.2,2.7,6.7,15.2,89,102,3.2,2010
Kendrick Perkins,25,6,6,141,.614,.571,13.9,18.8,15.7,6.8,0.4,0.0,21.9,12.4,113,110,4.9,2010
Nate Robinson,25,7,0,71,.528,.483,2.9,11.0,6.7,32.9,0.8,0.0,11.0,24.5,105,112,3.5,2010
Tony Allen,28,7,0,103,.406,.333,3.1,4.9,4.2,4.5,3.7,4.0,15.6,15.2,79,104,1.8,2010
Marquis Daniels,29,2,0,4,.868,.750,21.6,0.0,12.1,0.0,0.0,0.0,25.8,41.8,123,114,1.7,2010
Michael Finley,36,2,0,5,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0,119,-0.4,2010
Brian Scalabrine,31,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,113,0.0,2010
Shelden Williams,26,2,0,18,.000,.000,0.0,26.0,11.8,0.0,0.0,0.0,66.7,14.9,0,103,-2.9,2010
Team Totals,29.5,7,,1680,.510,.464,25.7,67.8,47.2,59.7,8.2,7.3,13.3,,102.1,106.1,,2010
Pau Gasol,29,7,7,293,.556,.478,13.6,19.5,16.5,17.2,1.0,4.8,10.0,21.0,122,101,18.6,2010
Metta World Peace,30,7,7,251,.458,.438,5.8,9.2,7.6,6.3,2.2,1.3,12.0,17.1,96,104,6.2,2010
Derek Fisher,35,7,7,214,.522,.440,1.6,10.4,6.0,11.8,1.6,0.0,13.5,14.9,106,107,5.3,2010
Lamar Odom,30,7,0,192,.511,.500,5.8,23.1,14.3,8.9,1.2,1.7,16.2,15.3,99,100,5.6,2010
Andrew Bynum,22,7,7,175,.512,.452,10.3,13.7,12.3,0.0,0.3,3.8,10.6,15.4,108,106,5.6,2010
Shannon Brown,24,7,0,84,.492,.450,0.0,7.8,4.1,6.0,0.0,0.8,0.0,12.2,112,107,1.9,2010
Jordan Farmar,23,7,0,88,.364,.357,1.6,10.0,5.7,12.6,5.1,0.0,21.7,19.8,68,97,1.4,2010
Sasha Vujačić,25,7,0,52,.563,.500,7.9,10.4,8.2,16.1,2.2,0.0,5.1,17.5,129,103,2.5,2010
Luke Walton,29,4,0,31,.333,.333,0.0,7.7,3.9,14.2,0.0,5.2,40.0,7.7,61,102,0.3,2010
D.J. Mbenga,29,1,0,3,.000,.000,0.0,34.9,19.5,0.0,0.0,0.0,0.0,17.7,0,76,-0.8,2010
Josh Powell,27,2,0,8,.000,.000,0.0,11.4,6.4,0.0,0.0,0.0,0.0,11.6,0,88,-0.6,2010
Team Totals,28.5,7,,1680,.510,.450,32.2,74.3,52.8,45.7,8.5,10.1,12.3,,106.1,102.1,,2010
Rashard Lewis,29,5,5,212,.546,.514,5.6,16.7,11.6,19.6,1.0,0.0,11.1,20.8,108,113,12.7,2009
Dwight Howard,23,5,5,213,.562,.488,11.5,33.8,23.4,9.8,2.1,7.3,22.6,20.5,100,100,15.6,2009
Rafer Alston,32,5,5,147,.432,.395,0.8,8.1,4.7,19.0,1.5,0.0,11.5,23.3,87,115,5.4,2009
Mickaël Piétrus,26,5,0,140,.574,.525,2.3,7.0,4.6,2.3,1.2,0.6,6.1,17.6,113,115,6.2,2009
Courtney Lee,23,5,5,88,.430,.406,2.5,7.0,4.7,2.2,1.9,0.0,8.2,20.5,83,116,1.9,2009
JJ Redick,24,4,0,65,.538,.525,2.0,2.1,2.1,26.5,0.9,0.0,8.9,16.6,110,113,3.8,2009
Jameer Nelson,26,5,0,90,.384,.370,1.6,7.5,4.6,31.9,0.6,0.0,22.0,17.3,79,116,2.1,2009
Marcin Gortat,24,5,0,53,.477,.467,4.2,23.4,13.8,0.0,2.1,6.0,15.2,18.0,80,104,2.5,2009
Tony Battie,32,5,0,35,.455,.455,3.4,10.2,6.7,8.6,0.0,4.2,8.3,17.1,90,114,1.1,2009
Team Totals,26.7,5,,1250,.522,.479,20.2,74.3,48.5,57.1,6.6,9.1,13.8,,100.5,110.8,,2009
Pau Gasol,28,5,5,212,.647,.600,5.4,22.3,13.5,8.8,1.0,3.9,6.5,17.5,132,99,17.6,2009
Lamar Odom,29,5,0,169,.609,.583,7.1,20.3,13.7,4.2,1.6,3.0,14.1,18.2,115,98,10.3,2009
Trevor Ariza,23,5,5,188,.455,.446,6.0,16.8,10.9,6.5,2.6,0.5,7.6,16.9,99,101,7.7,2009
Derek Fisher,34,5,5,179,.616,.583,2.0,9.5,5.4,8.0,1.8,0.0,6.3,12.9,127,103,8.5,2009
Andrew Bynum,21,5,5,95,.406,.364,12.2,15.1,13.5,5.2,1.2,3.2,7.5,20.1,97,101,3.1,2009
Luke Walton,28,5,0,76,.752,.800,4.6,13.1,8.6,9.4,0.7,0.0,13.7,9.1,141,103,3.4,2009
Jordan Farmar,22,5,0,57,.428,.395,4.8,11.3,7.4,4.7,1.9,0.0,13.1,19.1,83,105,1.6,2009
Josh Powell,26,2,0,11,.625,.625,19.1,17.6,18.3,15.5,0.0,0.0,33.3,26.6,94,93,1.5,2009
Shannon Brown,23,3,0,16,.000,.000,6.7,0.0,3.2,0.0,0.0,0.0,0.0,5.9,38,104,-0.4,2009
D.J. Mbenga,28,3,0,6,.000,.000,0.0,16.4,8.5,0.0,0.0,17.1,50.0,15.6,0,85,-0.2,2009
Sasha Vujačić,24,5,0,22,.000,.000,0.0,10.3,5.4,11.7,0.0,0.0,14.3,15.4,16,104,-0.9,2009
Team Totals,27.4,5,,1250,.536,.495,25.7,79.8,51.5,43.2,7.9,10.0,9.6,,110.8,100.5,,2009
Pau Gasol,27,6,6,234,.572,.532,6.3,25.3,15.8,15.3,0.7,1.1,14.5,18.3,111,111,12.4,2008
Lamar Odom,28,6,6,220,.560,.525,6.5,22.8,14.9,15.5,0.5,2.4,18.1,19.1,102,113,10.3,2008
Derek Fisher,33,6,6,187,.571,.440,1.4,4.5,2.8,17.8,2.6,0.0,13.6,16.7,113,114,8.3,2008
Sasha Vujačić,23,6,0,132,.509,.478,2.8,7.8,5.3,7.7,1.2,0.6,9.2,19.5,96,114,4.3,2008
Vladimir Radmanović,27,6,6,128,.525,.512,5.6,22.8,14.2,10.6,1.7,0.0,8.7,17.0,107,114,4.9,2008
Jordan Farmar,21,6,0,115,.641,.629,1.1,10.0,5.6,13.3,0.9,2.2,13.2,15.5,115,116,5.3,2008
Luke Walton,27,6,0,66,.422,.375,3.5,7.1,5.3,19.0,0.8,1.1,14.5,15.1,90,118,1.1,2008
Trevor Ariza,22,5,0,35,.604,.611,9.3,21.3,15.5,7.1,1.5,2.7,8.5,16.2,108,113,2.2,2008
Ronny Turiaf,25,6,0,62,.468,.500,0.0,8.3,3.9,0.0,0.0,3.9,7.8,9.9,78,115,0.3,2008
Chris Mihm,28,1,0,3,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,31.6,0,113,-2.5,2008
Team Totals,27.2,6,,1440,.537,.489,20.7,72.8,46.8,58.6,7.6,5.5,13.4,,103.9,113.1,,2008
Ray Allen,32,6,6,246,.708,.658,3.8,10.5,7.3,11.1,1.7,1.4,11.3,18.2,129,106,16.7,2008
Kevin Garnett,31,6,6,228,.470,.429,11.7,30.1,20.9,15.5,2.3,2.4,12.1,26.8,99,99,14.6,2008
Rajon Rondo,21,6,6,162,.432,.377,5.0,12.3,8.8,40.1,2.9,1.6,12.2,20.7,107,103,9.5,2008
James Posey,31,6,0,151,.781,.714,2.2,16.4,9.1,2.9,2.8,0.9,13.1,11.9,130,102,7.6,2008
Leon Powe,24,6,1,53,.633,.550,15.9,27.3,21.6,0.0,0.0,0.0,6.4,27.6,126,108,4.4,2008
Eddie House,29,4,0,74,.522,.482,0.0,16.1,7.9,21.7,0.7,0.0,6.1,20.3,115,106,5.9,2008
P.J. Brown,38,6,0,117,.452,.391,5.4,14.5,9.9,4.8,1.4,2.5,7.0,11.3,101,105,2.8,2008
Kendrick Perkins,23,5,5,92,.601,.571,10.6,13.0,11.7,4.2,1.8,5.1,26.5,11.4,100,101,2.9,2008
Sam Cassell,38,5,0,51,.389,.375,0.0,2.6,1.2,25.3,2.1,0.0,7.6,23.9,84,108,1.7,2008
Tony Allen,26,3,0,19,.667,.667,0.0,5.7,3.1,19.9,2.6,0.0,0.0,13.9,144,106,2.7,2008
Glen Davis,22,1,0,15,.521,.500,16.1,18.3,17.1,0.0,0.0,0.0,0.0,8.6,142,107,2.8,2008
Team Totals,28.3,6,,1440,.559,.500,27.2,79.3,53.2,67.0,9.6,7.4,12.3,,113.1,103.9,,2008
Drew Gooden,25,4,4,110,.537,.500,11.2,23.0,16.7,2.0,0.6,1.7,9.5,23.5,108,102,9.0,2007
Daniel Gibson,20,4,2,139,.519,.512,0.7,5.2,2.8,15.2,2.6,0.0,0.0,14.6,119,105,8.5,2007
Sasha Pavlović,23,4,4,127,.418,.420,3.5,5.9,4.7,4.9,0.9,0.0,9.7,20.2,85,108,3.2,2007
Zydrunas Ilgauskas,31,4,4,103,.391,.351,17.9,26.9,22.2,3.4,1.2,3.6,9.2,20.8,91,98,6.9,2007
Anderson Varejão,24,4,0,98,.681,.667,6.9,18.2,12.1,5.2,2.9,2.0,8.3,12.4,135,101,7.9,2007
Damon Jones,30,4,0,65,.731,.682,1.6,7.3,4.2,11.1,0.0,0.0,0.0,9.0,158,110,4.1,2007
Donyell Marshall,33,4,0,61,.422,.375,3.4,14.0,8.4,13.5,2.8,0.0,10.1,16.0,94,104,2.6,2007
Eric Snow,33,4,0,41,.425,.400,2.5,8.7,5.4,37.1,1.5,2.4,14.5,8.0,111,103,2.5,2007
Larry Hughes,28,2,2,44,.100,.100,0.0,14.5,6.9,6.7,1.3,0.0,16.7,13.6,28,114,-2.0,2007
Shannon Brown,21,1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,106,0.0,2007
Ira Newble,32,1,0,1,.000,.000,0.0,100.0,59.5,0.0,0.0,0.0,0.0,50.0,0,85,-0.4,2007
Scot Pollard,31,1,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,126,0.0,2007
Team Totals,26.7,4,,960,.464,.430,27.1,72.8,48.4,53.2,7.5,5.2,11.3,,97.2,104.4,,2007
Tim Duncan,30,4,4,149,.483,.446,13.1,21.6,17.7,20.7,2.0,5.0,12.7,29.3,102,91,15.3,2007
Manu Ginóbili,29,4,0,117,.571,.469,1.0,20.5,11.4,17.2,2.4,0.0,12.6,30.5,110,94,11.6,2007
Bruce Bowen,35,4,4,167,.417,.426,2.2,11.7,7.3,5.2,0.7,0.5,9.4,9.6,87,100,3.8,2007
