Player,Age,G,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,year
Kevon Looney,25,6,3,130,.656,.636,17.7,20.9,19.6,17.9,1.5,4.2,30.4,11.4,124,105,7.3,2022
Nemanja Bjelica,33,5,0,29,.563,.563,2.8,27.3,15.7,4.7,3.5,0.0,20.0,15.5,94,96,1.4,2022
Andre Iguodala,38,4,0,19,.875,.875,0.0,0.0,0.0,40.1,0.0,0.0,20.0,11.6,157,129,1.7,2022
Moses Moody,19,4,0,11,1.000,1.000,0.0,0.0,0.0,0.0,0.0,8.2,0.0,4.1,200,109,0.6,2022
Jonathan Kuminga,19,4,0,8,.000,.000,0.0,15.0,7.7,0.0,0.0,0.0,0.0,6.0,0,111,-0.1,2022
Damion Lee,29,4,0,8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0,116,-0.7,2022
Juan Toscano-Anderson,28,4,0,8,.000,.000,0.0,28.5,14.1,40.7,0.0,0.0,66.7,17.2,52,108,-0.2,2022
Team Totals,27.7,6,,1440,.560,.533,22.7,76.7,49.1,60.5,10.9,9.5,12.3,,110.8,106.6,,2022
Chris Paul,35,6,6,224,.622,.610,2.0,5.5,4.0,35.2,0.9,0.4,16.6,25.7,118,122,16.4,2021
Deandre Ayton,22,6,6,225,.597,.531,7.1,27.4,18.0,6.3,2.0,3.1,9.8,16.6,120,110,14.8,2021
Mikal Bridges,24,6,6,192,.663,.622,2.5,11.7,7.3,5.0,1.6,1.3,11.4,14.5,121,118,9.8,2021
Jae Crowder,30,6,6,223,.612,.569,2.1,22.3,12.7,5.7,2.2,2.2,10.9,13.1,112,112,10.8,2021
Cameron Johnson,24,6,0,136,.670,.629,3.9,12.1,8.0,5.0,1.1,1.8,9.5,14.2,126,120,6.7,2021
Cameron Payne,26,6,0,94,.525,.524,2.7,15.3,9.3,14.1,2.2,0.0,10.7,22.9,102,117,5.2,2021
Torrey Craig,30,6,0,64,.507,.500,3.8,10.1,7.2,2.0,0.0,0.0,10.7,13.6,93,124,1.2,2021
Frank Kaminsky,27,4,0,29,.667,.667,7.5,15.2,11.5,17.6,1.6,0.0,10.0,15.4,131,115,3.1,2021
Ty-Shon Alexander,22,1,0,1,1.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,200,133,1.7,2021
Abdel Nader,27,2,0,8,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0,133,-0.6,2021
Dario Šarić,26,1,0,2,.000,.000,45.5,0.0,22.2,0.0,0.0,0.0,0.0,18.4,74,116,0.0,2021
Team Totals,26.6,6,,1440,.590,.555,17.4,70.8,45.7,48.0,7.3,6.9,11.7,,114.5,117.0,,2021
Khris Middleton,29,6,6,255,.542,.512,0.8,17.3,8.5,19.2,1.8,0.0,12.5,25.9,108,115,16.2,2021
Jrue Holiday,30,6,6,250,.441,.412,2.8,13.9,8.2,31.2,2.6,1.4,10.3,21.9,107,113,15.2,2021
Brook Lopez,32,6,6,147,.553,.526,7.7,17.3,12.3,1.3,1.4,2.6,8.8,20.2,111,115,8.2,2021
Pat Connaughton,28,6,0,180,.659,.663,5.6,17.0,11.0,5.1,0.3,0.0,10.7,11.2,127,120,7.3,2021
Bobby Portis,25,6,0,100,.545,.513,11.1,16.3,13.7,1.5,2.1,1.7,2.3,18.8,123,110,6.3,2021
